"","Rent","Bond","Bedroom","Bathroom","Parking","Heating","Air Conditioning","Balcony","Dishwasher","Gym","Distance (km) to closest public school","Agent_Besser","Agent_Biggin","Agent_Buxton","Agent_Dingle","Agent_Elite","Agent_Hodges","Agent_Home","Agent_Jellis","Agent_Marshall","Agent_NPM","Agent_Paragon","Agent_Ray","Agent_Sweeney","Agent_Think","Agent_Waterdale","Neighbourhood Largest Demographics_20-39","Neighbourhood Largest Demographics_40-59","Neighbourhood Largest Demographics_60+","Neighbourhood Largest Demographics_Under 20"
"174",830,5410,2,2,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"175",390,2085,2,1,1,1,1,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"176",320,1390,1,1,1,0,1,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"177",270,1173,1,1,0,1,0,0,0,0,0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"178",360,1564,2,1,1,1,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"179",275,1195,1,1,0,1,0,0,0,0,0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"180",380,1651,1,1,1,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"181",340,1477,1,1,1,1,0,0,1,0,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"182",420,1825,3,1,1,0,1,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"183",355,1543,1,1,1,1,0,0,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"184",450,1955,2,1,1,1,1,0,1,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"185",585,2925,2,1,1,0,0,0,1,0,1.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"186",440,2200,2,1,1,0,0,0,0,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"187",400,1739,2,1,1,0,1,0,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"188",590,3154,2,2,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"189",310,1347,1,1,1,0,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"190",420,2100,2,2,1,1,0,0,0,0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"191",450,2405,2,1,1,1,0,0,1,0,0.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
